"SKU";"Item name";"Attribute name";"Attribute value";"GTIN";
"BED034white_80";"BED WEDGE 80CM WHITE";"WASHING LABEL SIZE";"3.5*7cm";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"BRAND INSERT PAPER STYLE";"non shiny matte 220g paper weight";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"HS CODE";"94049090";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"SOURCING PRICE";"$12.39";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"PRODUCT WEIGHT";"1900g";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"BRAND INSERT SIZE";"32 x 15 cm";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"COLOR BOTTOM";"White";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"MATERIAL BOTTOM";"100% polyester";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"QUALITY BOTTOM";"170gsm";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"SUPPLIER";"KANGHAO";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"EAN";"8720618522986";"8720618522986";
"BED034white_80";"BED WEDGE 80CM WHITE";"MASTER CARTON CBM";"0.0706";"8720618522986";
"BED034grey_80";"BED WEDGE 80CM GREY";"MASTER CARTON SIZE";"42cm 42cm 40cm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"FBA FEE";"€4.94";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"COLOR";"GREY";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"MASTER CARTON WEIGHT";"12800g";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"UNITS/CRTN";"4";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"PRODUCT SIZE ";"80cm 68cm 16cm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"PACKED SIZE";"19cm 19cm 38cm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"DIM WEIGHT";"2.74";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"PACKED WEIGHT";"2100g";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"PE BAG SIZE";"18*18*37";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"COLOR TOP";"Grey";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"MATERIAL TOP";"100% polyester";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"QUALITY TOP";"200gsm ";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"ZIPPER STYLE";"normal zipper";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"ZIPPER COLOR";"Grey";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"FILLING";"25D 100% polyurethane foam + 30D 6cm/0.5cm memeory foam on top";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"FILLING COLOR";"white + white";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"BRAND LABEL COLOR";"LIGHT GREEN";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"BRAND LABEL SIZE";"23.2 x 20 mm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"WASHING LABEL SIZE";"3.5*7cm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"BRAND INSERT PAPER STYLE";"non shiny matte 220g paper weight";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"HS CODE";"94049090";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"SOURCING PRICE";"$12.39";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"PRODUCT WEIGHT";"1900g";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"BRAND INSERT SIZE";"32 x 15 cm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"COLOR BOTTOM";"Grey";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"MATERIAL BOTTOM";"100% polyester";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"QUALITY BOTTOM";"170gsm";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"SUPPLIER";"KANGHAO";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"EAN";"8720618522979";"8720618522979";
"BED034grey_80";"BED WEDGE 80CM GREY";"MASTER CARTON CBM";"0.0706";"8720618522979";
"BED034white_65";"BED WEDGE 65CM WHITE";"MASTER CARTON SIZE";"40cm 59cm 39cm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"FBA FEE";"€4.94";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"COLOR";"WHITE";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"MASTER CARTON WEIGHT";"13500g";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"UNITS/CRTN";"6";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"PRODUCT SIZE ";"65cm 68cm 16cm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"PACKED SIZE";"19cm 19cm 37cm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"DIM WEIGHT";"2.67";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"PACKED WEIGHT";"1700g";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"PE BAG SIZE";"18*18*36";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"COLOR TOP";"White";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"MATERIAL TOP";"100% polyester";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"QUALITY TOP";"200gsm ";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"ZIPPER STYLE";"normal zipper";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"ZIPPER COLOR";"White";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"FILLING";"25D 100% polyurethane foam + 30D 6cm/0.5cm memeory foam on top";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"FILLING COLOR";"white + white";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"BRAND LABEL COLOR";"LIGHT GREEN";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"BRAND LABEL SIZE";"23.2 x 20 mm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"WASHING LABEL SIZE";"3.5*7cm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"BRAND INSERT PAPER STYLE";"non shiny matte 220g paper weight";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"HS CODE";"94049090";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"SOURCING PRICE";"$10.71";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"PRODUCT WEIGHT";"1500g";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"BRAND INSERT SIZE";"32 x 15 cm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"COLOR BOTTOM";"White";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"MATERIAL BOTTOM";"100% polyester";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"QUALITY BOTTOM";"170gsm";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"SUPPLIER";"KANGHAO";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"EAN";"8720618522962";"8720618522962";
"BED034white_65";"BED WEDGE 65CM WHITE";"MASTER CARTON CBM";"0.0920";"8720618522962";
"BED034grey_65";"BED WEDGE 65CM GREY";"MASTER CARTON SIZE";"40cm 59cm 39cm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"FBA FEE";"€4.94";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"COLOR";"GREY";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"MASTER CARTON WEIGHT";"13500g";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"UNITS/CRTN";"6";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"PRODUCT SIZE ";"65cm 68cm 16cm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"PACKED SIZE";"19cm 19cm 37cm";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"DIM WEIGHT";"2.67";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"PACKED WEIGHT";"1700g";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"PE BAG SIZE";"18*18*36";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"COLOR TOP";"Grey";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"MATERIAL TOP";"100% polyester";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"QUALITY TOP";"200gsm ";"8720618522955";
"BED034grey_65";"BED WEDGE 65CM GREY";"ZIPPER STYLE";"normal zipper";"8720618522955";
